OTU,percentage_identity,isolate
Gemella_5139,100,Gemella sanguinis_ 20925_1_41
Gemella_5139,100,Gemella sanguinis 20925_1_65
Gemella_5139,100,Gemella sanguinis 20925_1_66
Gemella_5139,100,Gemella sanguinis 27098_8_105
Gemella_5139,100,Gemella sanguinis 27098_8_106
Gemella_5140,99.517,Gemella n.sp. 27098_8_149
Gemella_5140,99.517,Gemella n.sp. 27098_8_155
Gemella_5140,99.517,Gemella n.sp. 27098_8_92
Gemella_5140,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5140,99.517,Gemella sanguinis 20925_1_65
Gemella_5140,99.517,Gemella sanguinis 20925_1_66
Gemella_5140,99.517,Gemella sanguinis 27098_8_105
Gemella_5140,99.517,Gemella sanguinis 27098_8_106
Gemella_5143,99.034,Gemella n.sp. 27098_8_149
Gemella_5143,99.034,Gemella n.sp. 27098_8_155
Gemella_5143,99.034,Gemella n.sp. 27098_8_92
Gemella_5143,99.034,Gemella sanguinis_ 20925_1_41
Gemella_5143,99.034,Gemella sanguinis 20925_1_65
Gemella_5143,99.034,Gemella sanguinis 20925_1_66
Gemella_5143,99.034,Gemella sanguinis 27098_8_105
Gemella_5143,99.034,Gemella sanguinis 27098_8_106
Gemella_5145,99.517,Gemella n.sp. 27098_8_149
Gemella_5145,99.517,Gemella n.sp. 27098_8_155
Gemella_5145,99.517,Gemella n.sp. 27098_8_92
Gemella_5145,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5145,99.517,Gemella sanguinis 20925_1_65
Gemella_5145,99.517,Gemella sanguinis 20925_1_66
Gemella_5145,99.517,Gemella sanguinis 27098_8_105
Gemella_5145,99.517,Gemella sanguinis 27098_8_106
Gemella_5146,99.517,Gemella n.sp. 27098_8_149
Gemella_5146,99.517,Gemella n.sp. 27098_8_155
Gemella_5146,99.517,Gemella n.sp. 27098_8_92
Gemella_5146,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5146,99.517,Gemella sanguinis 20925_1_65
Gemella_5146,99.517,Gemella sanguinis 20925_1_66
Gemella_5146,99.517,Gemella sanguinis 27098_8_105
Gemella_5146,99.517,Gemella sanguinis 27098_8_106
Gemella_5150,99.517,Gemella n.sp. 27098_8_149
Gemella_5150,99.517,Gemella n.sp. 27098_8_155
Gemella_5150,99.517,Gemella n.sp. 27098_8_92
Gemella_5150,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5150,99.517,Gemella sanguinis 20925_1_65
Gemella_5150,99.517,Gemella sanguinis 20925_1_66
Gemella_5150,99.517,Gemella sanguinis 27098_8_105
Gemella_5150,99.517,Gemella sanguinis 27098_8_106
Gemella_5153,99.034,Gemella n.sp. 27098_8_149
Gemella_5153,99.034,Gemella n.sp. 27098_8_155
Gemella_5153,99.034,Gemella n.sp. 27098_8_92
Gemella_5153,99.034,Gemella sanguinis_ 20925_1_41
Gemella_5153,99.034,Gemella sanguinis 20925_1_65
Gemella_5153,99.034,Gemella sanguinis 20925_1_66
Gemella_5153,99.034,Gemella sanguinis 27098_8_105
Gemella_5153,99.034,Gemella sanguinis 27098_8_106
Gemella_5161,99.517,Gemella n.sp. 27098_8_149
Gemella_5161,99.517,Gemella n.sp. 27098_8_155
Gemella_5161,99.517,Gemella n.sp. 27098_8_92
Gemella_5161,99.517,Gemella sanguinis_ 20925_1_41
Gemella_5161,99.517,Gemella sanguinis 20925_1_65
Gemella_5161,99.517,Gemella sanguinis 20925_1_66
Gemella_5161,99.517,Gemella sanguinis 27098_8_105
Gemella_5161,99.517,Gemella sanguinis 27098_8_106
Gemella_5162,99.517,Gemella n.sp. 27098_8_149
